What is your sex?,What is your year?,What is your course?,What was your GWA in the previous semester at PLM?,What was your Senior High School strand?,What was your first choice upon applying to PLM?2,What was your second choice upon applying to PLM?3,What was your third choice upon applying to PLM?2,I do important decisions on my own,I considered the background of the school in choosing a particular course,I consider the  number of potential job opportunities as an important factor       ,I consider the level of salary offered by potential job opportunities as an important factor,Who decided for you to choose your course?, I find my skills aligned with my current course, I find my  interests aligned with my current course       ,I find my hobbies aligned with my current course,Who inspire or motivated in your choice of course?,I am having the best college experience       ,I find the class size affecting my interest in the course,I find the   class size stimulating in my learning experience,I am in a  group of friends in my current course who shares the same interests with me       2,I can easily get affected/influenced by my friends’ decision       3,How many are you in your section/block?, I find my expectations match with my current course’s curriculum content       , I like my current course       ,                  I can easily learn lessons from the   subjects that I am taking right now              , I feel like the subjects offered in my current course is lacking       ,I had trouble  choosing my course upon applying in PLM       ,I find my  entire educational experience at this course excellent       ,I am satisfied with the set of instructors in my current course       ,I consider my college offering an effective academic advising       , I worry that I am not good/performing   enough for my subjects       ,I experienced  an effective course advising in high school,"If you could start over again, would you choose the same course you are attending now?","If you will be given a chance to shift to a different course, would you grab the opportunity?"
Female,Second Year,BSIT,1.00-1.50,STEM,BSN,BSIT,BSCS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Disagree,Agree,Agree,Family,Agree,Disagree,Agree,Agree,Disagree,51-70,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Yes,No
Female,Third Year,BSCS,1.51-2.00,STEM,BSIT,BSCS,BSEE,Agree,Strongly Disagree,Strongly Agree,Agree,Family,Strongly Disagree,Strongly Disagree,Strongly Disagree,Family,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,51-70,Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Agree,Agree,Disagree,No,Yes
Male,Third Year,BSCE,2.01-2.50,STEM,BS_Arch,BSCpE,BSCE,Agree,Agree,Agree,Strongly Agree,Institution,Disagree,Disagree,Disagree,Myself,Strongly Disagree,N/A,N/A,Strongly Disagree,Strongly Disagree,31-50,N/A,Strongly Disagree,N/A,N/A,Strongly Agree,N/A,Strongly Disagree,Strongly Disagree,Agree,Agree,Yes,Yes
Male,First Year,BSIT,N/A,BAM,BSEE,BSCE,BSIT,Agree,Agree,Agree,Agree,Family,Agree,Agree,Disagree,Family,Disagree,Agree,Disagree,Agree,Disagree,51-70,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Yes,Yes
Female,Third Year,BSCE,1.51-2.00,STEM,BSCE,BS_Arch,BSMath,Disagree,Agree,Agree,Strongly Agree,Family,Agree,Agree,Disagree,Family,Disagree,Agree,Agree,Agree,Agree,51-70,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,No,Yes
Female,First Year,BSIT,N/A,STEM,BSN,BSPsy,BSPT,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Family,Strongly Disagree,Strongly Disagree,Strongly Disagree,Family,Strongly Disagree,Disagree,Agree,Disagree,Strongly Disagree,51-70,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,Yes
Female,Third Year,BSBA_FM,1.00-1.50,BAM,BSBA_FM,BSA,BSPsy,Agree,Agree,Agree,Strongly Disagree,Family,Strongly Disagree,Strongly Disagree,Strongly Disagree,Family,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,51-70,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,No,Yes
Female,First Year,BSIT,N/A,BAM,BSIT,BSN,BSPsy,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Family,Agree,Agree,Disagree,Family,Agree,Agree,Agree,Agree,Disagree,51-70,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,No,Yes
Female,Third Year,BSCE,2.01-2.50,STEM,BSCE,BS_Arch,BSEd_Math,Agree,Strongly Agree,Strongly Agree,Agree,Family,Disagree,Agree,Agree,Family,Agree,Agree,Agree,Strongly Disagree,Agree,51-70,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Yes,No
Male,First Year,BSMfgE,N/A,STEM,BSCE,BSME,BS_Arch,Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Family,N/A,Agree,Agree,Strongly Disagree,Strongly Disagree,31-50,N/A,N/A,N/A,N/A,Agree,N/A,Agree,Agree,Strongly Agree,Agree,Yes,No
Female,Third Year,BSCE,2.01-2.50,STEM,BSCE,BSMfgE,BSIT,Agree,Agree,Strongly Agree,Strongly Agree,Myself,N/A,N/A,N/A,Family,N/A,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,31-50,N/A,N/A,N/A,N/A,Agree,N/A,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,No,Yes
Male,Second Year,BSIT,1.51-2.00,STEM,BSECE,BSN,BMMP,Agree,Agree,Agree,Agree,Institution,Disagree,Disagree,Disagree,Family,Disagree,Agree,Disagree,Agree,Disagree,51-70,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,No,Yes
Female,First Year,BSIT,N/A,HESS,BSN,BSTM,BSIT,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Disagree,Disagree,Disagree,Family,Disagree,Agree,Agree,Agree,Agree,51-70,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Agree,No,Yes
Female,Third Year,BSA,2.01-2.50,BAM,BSA,BSBA_FM,BSCE,Disagree,Agree,Agree,Agree,Family,Agree,Disagree,Disagree,Family,Agree,Agree,Agree,Agree,Agree,51-70,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,No,Yes
Female,Third Year,BSBA_FM,1.51-2.00,BAM,BSA,BSBA_FM,BSBA_MM,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,N/A,N/A,Strongly Agree,Disagree,51-70,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,N/A,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Yes,No
Male,Second Year,BSCE,2.01-2.50,STEM,BSCE,BSME,BSCHE,Agree,Agree,Strongly Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,N/A,N/A,Agree,Agree,51-70,Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Yes,No
Male,Second Year,BSBA_HRM,1.00-1.50,BAM,BSTM,BSHM,BSBA_HRM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,31-50,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,No,Yes
Female,Third Year,BSBA_FM,1.51-2.00,BAM,BSA,BSBA_FM,BAC,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Disagree,Strongly Agree,Agree,51-70,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Yes,No
Female,Second Year,BSTM,1.51-2.00,HESS,BSPsy,BSTM,BAC,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Agree,Agree,Family,Agree,Disagree,Agree,Agree,Disagree,51-70,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Yes,No
Male,Second Year,BSA,1.00-1.50,BAM,BSA,BSCE,BS_Arch,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Myself,Disagree,Disagree,Disagree,Family,Disagree,Strongly Agree,Disagree,Disagree,Disagree,51-70,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Yes,No
Male,First Year,BSIT,N/A,BAM,BSIT,BSBA_MM,BSA,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Agree,Family,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,51-70,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Yes,Yes
Male,Second Year,BSCS,1.00-1.50,STEM,BSCS,BSCpE,BSBio,Agree,Agree,Agree,Agree,Myself,Agree,Agree,Disagree,Family,Agree,Disagree,Agree,Agree,Agree,51-70,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,No,No
Male,First Year,BSIT,N/A,TVL,BSIT,BSCS,BSBA_BE,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Disagree,Strongly Agree,Disagree,Agree,Agree,51-70,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Yes,No
Female,Third Year,BSA,1.51-2.00,STEM,BSMath,BSA,BSBA_FM,Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Agree,51-70,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Yes,No
Female,Second Year,BSIT,1.51-2.00,TVL,BSIT,BSCS,BSN,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Disagree,Disagree,Strongly Disagree,Family,N/A,Agree,Agree,Disagree,Disagree,31-50,N/A,N/A,Disagree,N/A,Strongly Agree,N/A,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,No,Yes
Male,Second Year,BSCHE,2.01-2.50,STEM,BSCE,BSChem,BSCHE,Agree,Disagree,Strongly Agree,Disagree,Myself,Disagree,Strongly Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Disagree,Disagree,Strongly Disagree,Agree,31-50,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,No,Yes
Female,First Year,BSIT,N/A,BAM,BSIT,BSEE,BSBA_HRM,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Disagree,Disagree,Disagree,Disagree,51-70,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,No,Yes
Female,Second Year,BSA,1.00-1.50,BAM,BSA,BSBA_FM,BSBA_MM,Strongly Agree,Strongly Agree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,51-70,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Yes,No
Female,Second Year,BSHM,1.00-1.50,TVL,BSHM,BSTM,BSBA_MM,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Agree,Agree,Agree,Disagree,51-70,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Yes,No
Female,Second Year,BSTM,1.51-2.00,BAM,BSTM,BSBA_FM,BSBA_MM,Strongly Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Strongly Agree,Agree,Agree,Disagree,Disagree,51-70,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Yes,No
Female,Second Year,BSA,1.00-1.50,BAM,BSA,BSBA_FM,BSBA_OM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,51-70,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Yes,No
Male,Second Year,BSA,1.00-1.50,BAM,BSA,BSBA_FM,BSBA_OM,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Strongly Agree,Family,Agree,Agree,Agree,Agree,Disagree,51-70,Agree,Agree,N/A,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Yes,No
Female,Second Year,BSA,1.51-2.00,BAM,BSA,BSBA_MM,BSBA_OM,Agree,Strongly Agree,Strongly Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Disagree,Strongly Agree,Agree,Disagree,51-70,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Yes,Yes
Male,Third Year,BSREM,1.51-2.00,BAM,BSA,BSBA_FM,BSBA_OM,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Agree,Family,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,51-70,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Yes,No
Female,Third Year,BSCE,1.51-2.00,STEM,BSCE,BS_Arch,BSCHE,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Strongly Agree,Disagree,Disagree,Agree,Disagree,51-70,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Yes,No
Male,Second Year,BSCE,1.51-2.00,STEM,BSCE,BSME,BSCHE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Agree,Family,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,51-70,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Yes,No
Female,Third Year,BSCE,2.01-2.50,BAM,BSHM,BSME,BSCE,Agree,Agree,Agree,Agree,Myself,Strongly Disagree,Strongly Disagree,Disagree,Family,Agree,Disagree,Disagree,Agree,Agree,51-70,Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,No,No
Male,Second Year,BSCS,1.00-1.50,STEM,BSCS,BSIT,BSCpE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Agree,Family,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,51-70,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Yes,No
Male,First Year,BSIT,N/A,TVL,BSIT,BSCS,BSCpE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Agree,Agree,Agree,Agree,Agree,51-70,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,No
Male,First Year,BSIT,N/A,TVL,BSIT,BSCS,BSCpE,Strongly Agree,Agree,Strongly Agree,Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Agree,Disagree,Agree,Strongly Agree,Agree,51-70,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Yes,No
Male,First Year,BSIT,N/A,TVL,BSIT,BSCS,BSCpE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Agree,Agree,Strongly Agree,Agree,51-70,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,No
Female,First Year,BSIT,N/A,TVL,BSIT,BSCS,BSCpE,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Agree,51-70,Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Agree,Yes,Yes
Female,Third Year,BSCE,1.00-1.50,STEM,BSCE,BSCpE,BSCS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Family,Agree,Disagree,Agree,Agree,Disagree,51-70,Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,No,Yes
Male,Third Year,BSCE,2.01-2.50,STEM,BSCE,BSME,BSCpE,Strongly Agree,Agree,Agree,Agree,Myself,Strongly Agree,Agree,Strongly Agree,Family,Agree,N/A,N/A,Strongly Disagree,Strongly Disagree,31-50,N/A,Agree,N/A,N/A,Strongly Disagree,N/A,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Yes,No
Male,Third Year,BSIT,1.00-1.50,STEM,BSBio,BSCpE,BSIT,Disagree,N/A,Agree,Agree,Family,Strongly Disagree,Disagree,Strongly Disagree,Family,Disagree,Disagree,Agree,Agree,Agree,31-50,N/A,Disagree,N/A,N/A,Strongly Agree,N/A,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,No,Yes
Female,Third Year,BSCE,2.01-2.50,HESS,BSCE,BSCpE,BSPsy,Agree,Agree,Agree,Agree,Myself,N/A,N/A,N/A,Family,N/A,Agree,Agree,Disagree,Disagree,51-70,N/A,N/A,N/A,N/A,Agree,N/A,Agree,Strongly Disagree,Agree,Agree,No,Yes
Female,First Year,BSIT,N/A,HESS,BSIT,BSECE,BSCS,Agree,Agree,Strongly Agree,Agree,Myself,Agree,Agree,Disagree,Family,Agree,Disagree,Disagree,Agree,Agree,51-70,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Yes,No
Male,First Year,BSIT,N/A,HESS,BSPsy,BSIT,BSCS,Strongly Agree,Agree,Agree,Agree,Myself,Agree,Strongly Agree,Agree,Family,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,51-70,Agree,Strongly Agree,Agree,Agree,N/A,Disagree,Agree,Agree,Strongly Agree,Agree,Yes,No
Female,Second Year,BSIT,1.00-1.50,STEM,BSIT,BSPsy,BSCS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Agree,Family,Strongly Agree,Agree,Agree,Strongly Agree,Agree,51-70,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Yes,No
Male,Third Year,BSCpE,1.00-1.50,STEM,BSCpE,BSEE,BSCS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,31-50,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Yes,No
Female,Second Year,BSCS,1.00-1.50,STEM,BSN,BSCS,BSEd_Eng,Disagree,Agree,Disagree,Disagree,Family,Disagree,Disagree,Disagree,Family,Strongly Disagree,Agree,Agree,Agree,Disagree,51-70,N/A,Strongly Disagree,N/A,N/A,Agree,N/A,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,No,Yes
Female,First Year,BS_ENTRE,N/A,BAM,BSTM,BSHM,BS_ENTRE,Strongly Agree,Agree,Agree,Agree,Myself,Strongly Agree,Agree,Agree,Family,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,51-70,Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Yes,No
Male,Second Year,BSCS,1.51-2.00,TVL,BSIT,BSCS,BS_ENTRE,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Agree,Agree,Disagree,Disagree,51-70,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Yes,No
Female,Second Year,BSTM,1.00-1.50,BAM,BS_Arch,BSTM,BSHM,Strongly Agree,Agree,Agree,Agree,Myself,Agree,Strongly Agree,Strongly Agree,Family,Agree,Agree,Agree,Agree,Disagree,51-70,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Yes,Yes
Female,Second Year,BSHM,1.51-2.00,TVL,BSTM,BSHM,BSEd_Fil,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Family,Agree,N/A,N/A,Strongly Disagree,Strongly Disagree,51-70,N/A,Agree,Agree,N/A,Disagree,N/A,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Yes,No
Male,First Year,BSIT,N/A,HESS,BSIT,BSCS,BSHM,Strongly Agree,Strongly Agree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Agree,51-70,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Yes
Female,Second Year,BSBA_FM,1.00-1.50,BAM,BSA,BSBA_FM,BSBA_HRM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Agree,N/A,N/A,Strongly Agree,Agree,31-50,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,No,No
Female,Third Year,BSME,1.00-1.50,TVL,BSME,BSCpE,BSIT,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,31-50,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Yes,No
Female,Second Year,BSCpE,1.00-1.50,STEM,BSCpE,BSCpE,BSIT,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Disagree,Strongly Agree,Disagree,51-70,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,No,Yes
Female,First Year,BSCpE,N/A,STEM,BSCpE,BSCS,BSIT,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Family,Agree,Disagree,Agree,Disagree,Strongly Disagree,51-70,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Yes,No
Male,Third Year,BSIT,1.51-2.00,BAM,BSTM,BSA,BSIT,Agree,Agree,Agree,Strongly Agree,Myself,Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Disagree,Agree,Disagree,Agree,51-70,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Yes,No
Male,First Year,BSIT,N/A,STEM,BSCpE,BSCS,BSIT,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Disagree,Disagree,Disagree,Disagree,51-70,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,No,Yes
Male,First Year,BSIT,N/A,TVL,BSCpE,BSCS,BSIT,Agree,Strongly Agree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Disagree,Strongly Agree,51-70,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Yes,No
Female,First Year,BSIT,N/A,HESS,BSPT,BSPsy,BSIT,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Strongly Agree,Strongly Agree,51-70,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,No,No
Male,Second Year,BSA,1.00-1.50,STEM,BSA,BSCE,BSMath,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Strongly Agree,Agree,51-70,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Yes,Yes
Male,Second Year,BSCS,1.00-1.50,STEM,BSCS,BSCpE,BSME,Agree,Agree,Agree,Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,51-70,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Yes,No
Female,Third Year,BSREM,1.51-2.00,BAM,BSA,BSPsy,BSN,Disagree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Disagree,Agree,Agree,Disagree,51-70,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Yes,No
Female,Third Year,BSCE,1.51-2.00,STEM,BSBio,BSCE,BSN,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Disagree,Disagree,Family,Agree,Agree,Agree,Agree,Agree,51-70,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Yes,No
Female,First Year,BSCpE,N/A,HESS,BSCS,BSPsy,BSN,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,51-70,Strongly Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Yes,Yes
Female,Third Year,BSBA_FM,1.51-2.00,STEM,BSN,BSA,BSPT,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Agree,Family,Agree,Disagree,Disagree,Agree,Agree,51-70,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Yes,No
Male,Second Year,BSCS,1.00-1.50,STEM,BSCS,BSIT,BSPT,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Disagree,Agree,Agree,Disagree,51-70,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Yes,No
Female,Second Year,BSBA_FM,1.51-2.00,HESS,BAC,BSBA_FM,BSPsy,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Myself,Agree,Strongly Agree,Disagree,Family,Agree,Agree,Agree,Strongly Agree,Disagree,51-70,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,Yes
Female,Third Year,BSCE,1.00-1.50,STEM,BSCE,BSCE,BSCE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,31-50,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Yes,No
Male,Second Year,BSCE,1.51-2.00,STEM,BSCE,BSME,BSEE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,31-50,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,N/A,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Yes,No
